абана|баня
абетæ|азбука
авдæн|колыбель
агау|котловина
агуат|углубление в земле для котла
агуыр|название народа в нартский сказаниях
агъд|название народа в нартский сказаниях
агъуд|чехол
адаг|чехол
адæм|народ
адзал|неизбежная смерть
адрис|адрес
адыли|аршин
азар|проклятие
азæлд|эхо
азылд|обход
азым|вина
аивад|исскуство
аивæй|по секрету
аивд|перемена
аипп|порок
айдæн|зеркало
айк|зеркало
айнæг|зеркало
айонг|до этого места
айуан|шут
ала|копоть
алгъ|копоть
амад|кладка
амал|возможность
амæ|к этому
амæй|от этого
амонд|счастье
апп|ядро
араст|отход
арæзт|устройство
арæн|межа
арæн|роды
арæх|изобилие
арв|небо
арван|втулка
аргъ|втулка
ард|втулка
ардыд|подстрекательство
арм|рука
арс|рука
арт|огонь
арф|глубина
арфад|глубина
арфæ|благодарность
арх|сук
арц|копье
арынг|корыто
асæст|облако
асин|лестница
астæу|поясница
астым|выпас
асыкк|выпас
атард|угон
атахт|полет
атынд|прорыв
ауæдз|межа
ауæзт|пруд
аудæг|покровитель
аууон|тень
ауыл|на этом
афæдз|год
афон|время
афтид|пустота
ахæст|узник
ахсæн|желудок
ахст|арест
ахуыр|учеба
аххос|вина
ахызт|переправа
ахъаз|милость
ацц|дикая утка
æвæд|не оставивший следа
æвзаг|язык
æвзар|всходы
æвзæн|рой
æгад|бесчестие
æда|дед
æдзæм|мертвый
æдзæф|без недостатков
æдылы|дурак
æккой|плечо
æлæм|алам
æлæт|дужка котла
æлвыд|стрижка
æлгъ|брезгливость
æлдар|барин
æллæх|барин
æлхæд|купля
æлхой|пест
æлыг|глина
æлыз|гусеница
æм-|приставка
æмбай|ровестник
æмбал|товарищ
æмбæр|одинакового веса
æмбис|середина
æмвæз|одного уровня
æмвос|компания
æмгар|ровесник
æмдуг|современник
æмзæл|созвучие
æммус|общественный ток
æмтад|сплав
æмуæз|равный по весу
æмуæй|продажа оптом
æмуд|единодушие
æмхай|общая доля
æмцæф|совместныйудар
æмцег|шеф
æмыс|блинчик из кукурузной муки
æна|мать
æнгас|взгляд
æндар|пятно
æндах|нить
æндон|сталь
æнтæф|жара
æнус|век
æнцой|покой
æр-|приставка
æрба-|приставка
æрвад|однофамилец
æрд|пол
æрдæг|половина
æрдз|природа
æрдзæ|тысяча
æрдон|половой
æрду|волос
æрдуз|поляна
æрдын|лук
æрзæт|руда
æрмæг|материал
æрнæг|общий выгон
æртах|капля
æртæх|роса
æрфыг|бровь
æрх|овраг
æрхæм|рана
æрхуы|медь
æрцыд|приход
æрчъи|обувь из сыромятной кожи
æууæл|состояние
æфсад|армия
æфсæн|железо
æфсæр|челюсть
æфсин|хозяйка
æфсир|колос
æфсис|насыщение
æфсон|причина
æфтау|снопы
æфцæг|шея
æхсар|мужество
æхсæв|ночь
æхсæг|прачка
æхсæн|стрельбище
æхсæр|орех
æхсид|зарево
æхсин|госпожа
æхсыр|молоко
æхх|подъем
æххæл|изгиб
æхца|деньги
давæг|вор
давд|кража
давон|черемша
дагъ|складка
дада|папа
далыс|годовалый барашек
дам|слух
дарæс|одежда
дари|шелковая ткань
дау|подозрение
дауæн|место
дауын|метать икру
дæдæй|крик отчаяния
дæл-|первая часть сложных слов под
дæнг|выстрел
дæрæн|разгром
дæргъ|длина
дæркъ|новотельная корова
дæуау|подобно тебе
дæумæ|к тебе
дæуыл|на тебе
демæ|с тобой
джидæ|плотничий топор
джипп|форма
джир|кабан
джих|рассеянность
джыбы|клещ
джыбы|кнопка
дзала|осока
дзæлв|дерн
дзæцц|глаз
дзомс|инструмент
дзуар|крест
дзуар|оспа
дзуг|стадо
дзул|хлеб
дзутт|евреи
дзылы|чиж
дзыпп|карман
дзырд|слово
дзых|рот
диди|игрушка
дин|религия
дис|удивление
дисны|единица измерения длины
дих|часть
дичъи|бурдюк
догъ|удой
додой|горе
дон|вода
дон|вторая часть сложных слов
дуар|дверь
дуг|эпоха
дугъ|скачки
дудгæ|кресс-салат
дуне|мир
дур|камень
дуцæг|доярка
дуцæн|подойник
дыгур|дигорцы
дымæг|хвост
дымгæ|ветер
дыргъ|плод
дыс|рукав
дысон|вчера вечером
егар|гончая собака
емынæ|чума
ердо|небольшое отверстие в крыше сакли для выхода дыма
ерыс|соревнование
еска|корь
еугæф|икра
еуу|просо
ефс|кобыла
ехс|кнут
забад|кущение
загъд|спор
зад|солод
задын|пирог с начинкой из солода
заз|тис
зазн|лом
залым|деспот
заман|время
зараг|певец
зарæг|песня
зард|песнь
зачъе|борода
зæвæт|пятка
зæгæл|гвоздь
зæгъ|мелкий град
зæд|ангел
зæй|снежная лавина
зæйц|потомство
зæл|звук
зæнæг|дети
зæнг|голень
зæрдæ|сердце
зæфц|недосмотр
зæхх|земля
згæ|ржавчина
згъæл|отбросы
згъæр|металл
здæхт|направление
зды|свинец
зиан|вред
зивæг|лень
зилæн|шарнир
зин|подземный дух
зиу|помощь кому-либо в сельскохозяйственных или других работах
змæлд|движение
змæст|муть
змис|песок
знаг|враг
зокъо|гриб
зонаг|знаток
зонæг|знаток
зонд|ум
зоныг|колено
зормæ|домашняя колбаса
зул|косой
зулкъ|червь
зылд|круг
зылын|кривой
зым|черная индюшка
зымæг|зима
зынад|затруднение
зынæй|с трудом
зыр|морена
зырн|токарный станок
ивæзт|протяжение
ивæн|смена
ивд|обмен
игæр|печень
идадз|повод
идон|уздечка
изæр|вечер
илци|плата
ингæн|могила
ирæд|калым
ирдгæ|утренний ветер
ирон|осетин
исæн|механизм
исбон|имущество
ист|съемка
иту|утюг
иуæг|единица
ихæн|холод
ихдон|вода со льдом
ихуат|ледник
ихфæз|ледяное поле
ичъи|репейник
йод|йод
кад|почет
кадæг|эпическая поэма
кадæй|с почетом
кайын|нарушать целостность
кайыс|тесть
какон|терн
калм|змея
кар|возраст
кард|нож
карк|курица
карст|кусок
кас|каша
катай|тревожное состояние
кау|плетень
кафаг|танцор
кафт|танец
кæдæй|с каких пор
кæдмæ|до каких пор
кæлæн|течение
